Trace1,
Freq,,Amp,,
              810420,Hz,              -23.47, dBm,
             1223646,Hz,              -25.71, dBm,
             1636872,Hz,              -34.72, dBm,
             2050098,Hz,              -41.33, dBm,
             2463324,Hz,              -61.33, dBm,
             2876550,Hz,              -35.72, dBm,
             3289776,Hz,              -59.66, dBm,
             3703002,Hz,              -62.47, dBm,
             4116228,Hz,              -35.70, dBm,
             4529454,Hz,              -61.79, dBm,
             4942680,Hz,              -35.55, dBm,
             5355906,Hz,              -61.22, dBm,
             5769132,Hz,              -63.87, dBm,
             6182358,Hz,              -35.36, dBm,
             6595584,Hz,              -61.93, dBm,
             7008810,Hz,              -35.32, dBm,
             7422036,Hz,              -64.48, dBm,
             7835262,Hz,              -61.41, dBm,
             8248488,Hz,              -34.41, dBm,
             8661714,Hz,              -62.52, dBm,
             9074940,Hz,              -61.86, dBm,
             9488166,Hz,              -34.06, dBm,
             9901392,Hz,              -62.31, dBm,
            10314618,Hz,              -62.75, dBm,
            10727844,Hz,              -33.09, dBm,
            11141070,Hz,              -64.04, dBm,
            11554296,Hz,              -63.47, dBm,
            11967522,Hz,              -32.18, dBm,
            12380748,Hz,              -61.65, dBm,
            12793974,Hz,              -65.00, dBm,
            13207200,Hz,              -30.99, dBm,
            13620426,Hz,              -63.89, dBm,
            14033652,Hz,              -29.66, dBm,
            14446878,Hz,              -64.18, dBm,
            14860104,Hz,              -62.86, dBm,
            15273330,Hz,              -28.03, dBm,
            15686556,Hz,              -63.69, dBm,
            16099782,Hz,              -25.75, dBm,
            16513008,Hz,              -60.89, dBm,
            16926234,Hz,              -63.45, dBm,
            17339460,Hz,              -22.42, dBm,
            17752686,Hz,              -63.67, dBm,
            18165912,Hz,              -17.06, dBm,
            18579138,Hz,              -29.23, dBm,
            18992364,Hz,              -13.63, dBm,
            19405590,Hz,               -4.73, dBm,
            19818816,Hz,               -3.74, dBm,
            20232042,Hz,               -3.83, dBm,
            20645268,Hz,               -5.07, dBm,
            21058494,Hz,              -18.51, dBm,
            21471720,Hz,              -16.08, dBm,
            21884946,Hz,              -57.81, dBm,
            22298172,Hz,              -63.01, dBm,
            22711398,Hz,              -20.92, dBm,
            23124624,Hz,              -63.99, dBm,
            23537850,Hz,              -23.38, dBm,
            23951076,Hz,              -62.68, dBm,
            24364302,Hz,              -63.29, dBm,
            24777528,Hz,              -25.02, dBm,
            25190754,Hz,              -64.16, dBm,
            25603980,Hz,              -26.10, dBm,
            26017206,Hz,              -64.71, dBm,
            26430432,Hz,              -64.99, dBm,
            26843658,Hz,              -26.78, dBm,
            27256884,Hz,              -64.50, dBm,
            27670110,Hz,              -63.85, dBm,
            28083336,Hz,              -27.23, dBm,
            28496562,Hz,              -65.71, dBm,
            28909788,Hz,              -27.52, dBm,
            29323014,Hz,              -64.52, dBm,
            29736240,Hz,              -63.52, dBm,
            30149466,Hz,              -27.30, dBm,
            30562692,Hz,              -60.72, dBm,
            30975918,Hz,              -27.03, dBm,
            31389144,Hz,              -64.16, dBm,
            31802370,Hz,              -65.33, dBm,
            32215596,Hz,              -26.62, dBm,
            32628822,Hz,              -64.75, dBm,
            33042048,Hz,              -25.91, dBm,
            33455274,Hz,              -63.82, dBm,
            33868500,Hz,              -63.84, dBm,
            34281726,Hz,              -25.01, dBm,
            34694952,Hz,              -63.38, dBm,
            35108178,Hz,              -23.60, dBm,
            35521404,Hz,              -62.11, dBm,
            35934630,Hz,              -63.75, dBm,
            36347856,Hz,              -21.84, dBm,
            36761082,Hz,              -63.35, dBm,
            37174308,Hz,              -63.20, dBm,
            37587534,Hz,              -18.88, dBm,
            38000760,Hz,              -60.42, dBm,
            38413986,Hz,              -13.20, dBm,
            38827212,Hz,              -16.94, dBm,
            39240438,Hz,               -7.34, dBm,
            39653664,Hz,               -4.55, dBm,
            40066890,Hz,               -4.27, dBm,
            40480116,Hz,               -5.88, dBm,
            40893342,Hz,              -13.30, dBm,
            41306568,Hz,              -27.77, dBm,
            41719794,Hz,              -16.61, dBm,
            42133020,Hz,              -62.78, dBm,
            42546246,Hz,              -21.39, dBm,
            42959472,Hz,              -22.37, dBm,
            43372698,Hz,              -66.39, dBm,
            43785924,Hz,              -24.33, dBm,
            44199150,Hz,              -64.98, dBm,
            44612376,Hz,              -66.27, dBm,
            45025602,Hz,              -26.47, dBm,
            45438828,Hz,              -63.95, dBm,
            45852054,Hz,              -27.98, dBm,
            46265280,Hz,              -63.13, dBm,
            46678506,Hz,              -63.99, dBm,
            47091732,Hz,              -29.26, dBm,
