Trace1,
Freq,,Amp,,
              810420,Hz,              -24.61, dBm,
             1905281,Hz,               -6.42, dBm,
             3000142,Hz,               -3.70, dBm,
             4095003,Hz,              -12.28, dBm,
             5189864,Hz,               -3.90, dBm,
             6284725,Hz,               -4.14, dBm,
             7379586,Hz,              -13.92, dBm,
             8474447,Hz,               -4.14, dBm,
             9569308,Hz,               -5.92, dBm,
            10664169,Hz,              -11.88, dBm,
            11759030,Hz,               -4.51, dBm,
            12853891,Hz,               -9.60, dBm,
            13948752,Hz,               -4.95, dBm,
            15043613,Hz,               -4.89, dBm,
            16138474,Hz,              -22.13, dBm,
            17233335,Hz,              -48.89, dBm,
            18328196,Hz,              -49.38, dBm,
            19423057,Hz,              -56.86, dBm,
            20517918,Hz,              -51.45, dBm,
            21612779,Hz,              -30.37, dBm,
            22707640,Hz,              -54.94, dBm,
            23802501,Hz,              -52.97, dBm,
            24897362,Hz,              -58.12, dBm,
            25992223,Hz,              -55.27, dBm,
            27087084,Hz,              -54.26, dBm,
            28181945,Hz,              -37.97, dBm,
            29276806,Hz,              -56.82, dBm,
            30371667,Hz,              -57.59, dBm,
            31466528,Hz,              -62.04, dBm,
            32561389,Hz,              -57.13, dBm,
            33656250,Hz,              -62.09, dBm,
            34751111,Hz,              -61.55, dBm,
            35845972,Hz,              -43.23, dBm,
            36940833,Hz,              -65.86, dBm,
            38035694,Hz,              -62.47, dBm,
            39130555,Hz,              -60.84, dBm,
            40225416,Hz,              -65.38, dBm,
            41320277,Hz,              -62.07, dBm,
            42415138,Hz,              -47.84, dBm,
            43509999,Hz,              -63.92, dBm,
            44604860,Hz,              -62.36, dBm,
            45699721,Hz,              -64.18, dBm,
            46794582,Hz,              -62.17, dBm,
            47889443,Hz,              -62.69, dBm,
            48984304,Hz,              -64.08, dBm,
            50079165,Hz,              -53.27, dBm,
            51174026,Hz,              -62.82, dBm,
            52268887,Hz,              -63.51, dBm,
            53363748,Hz,              -64.38, dBm,
            54458609,Hz,              -63.68, dBm,
            55553470,Hz,              -64.29, dBm,
            56648331,Hz,              -60.73, dBm,
            57743192,Hz,              -63.62, dBm,
            58838053,Hz,              -63.96, dBm,
            59932914,Hz,              -61.60, dBm,
            61027775,Hz,              -63.48, dBm,
            62122636,Hz,              -63.85, dBm,
            63217497,Hz,              -63.13, dBm,
            64312358,Hz,              -61.99, dBm,
            65407219,Hz,              -62.23, dBm,
            66502080,Hz,              -62.70, dBm,
            67596941,Hz,              -64.09, dBm,
            68691802,Hz,              -64.24, dBm,
            69786663,Hz,              -63.79, dBm,
            70881524,Hz,              -62.21, dBm,
            71976385,Hz,              -63.93, dBm,
            73071246,Hz,              -63.31, dBm,
            74166107,Hz,              -62.18, dBm,
            75260968,Hz,              -62.10, dBm,
            76355829,Hz,              -62.79, dBm,
            77450690,Hz,              -62.62, dBm,
            78545551,Hz,              -62.67, dBm,
            79640412,Hz,              -64.08, dBm,
            80735273,Hz,              -61.77, dBm,
            81830134,Hz,              -64.38, dBm,
            82924995,Hz,              -61.60, dBm,
            84019856,Hz,              -64.03, dBm,
            85114717,Hz,              -62.78, dBm,
            86209578,Hz,              -62.52, dBm,
            87304439,Hz,              -62.77, dBm,
            88399300,Hz,              -62.08, dBm,
            89494161,Hz,              -63.70, dBm,
            90589022,Hz,              -62.31, dBm,
            91683883,Hz,              -62.89, dBm,
            92778744,Hz,              -63.44, dBm,
            93873605,Hz,              -61.80, dBm,
            94968466,Hz,              -63.39, dBm,
            96063327,Hz,              -62.51, dBm,
            97158188,Hz,              -63.06, dBm,
            98253049,Hz,              -64.84, dBm,
            99347910,Hz,              -57.41, dBm,
           100442771,Hz,              -61.76, dBm,
           101537632,Hz,              -63.26, dBm,
           102632493,Hz,              -62.59, dBm,
           103727354,Hz,              -62.66, dBm,
           104822215,Hz,              -62.79, dBm,
           105917076,Hz,              -62.39, dBm,
           107011937,Hz,              -55.41, dBm,
           108106798,Hz,              -60.63, dBm,
           109201659,Hz,              -62.26, dBm,
           110296520,Hz,              -62.48, dBm,
           111391381,Hz,              -63.87, dBm,
           112486242,Hz,              -61.81, dBm,
           113581103,Hz,              -53.62, dBm,
           114675964,Hz,              -63.36, dBm,
           115770825,Hz,              -61.27, dBm,
           116865686,Hz,              -62.77, dBm,
           117960547,Hz,              -62.38, dBm,
           119055408,Hz,              -61.73, dBm,
           120150269,Hz,              -52.31, dBm,
           121245130,Hz,              -63.42, dBm,
           122339991,Hz,              -62.91, dBm,
           123434852,Hz,              -63.45, dBm,
           124529713,Hz,              -62.66, dBm,
           125624574,Hz,              -61.98, dBm,
           126719435,Hz,              -62.70, dBm,
           127814296,Hz,              -46.23, dBm,
           128909157,Hz,              -60.55, dBm,
           130004018,Hz,              -62.49, dBm,
           131098879,Hz,              -60.25, dBm,
           132193740,Hz,              -60.65, dBm,
           133288601,Hz,              -34.43, dBm,
           134383462,Hz,              -24.79, dBm,
           135478323,Hz,              -26.38, dBm,
           136573184,Hz,              -29.81, dBm,
           137668045,Hz,              -26.71, dBm,
           138762906,Hz,              -33.04, dBm,
           139857767,Hz,              -29.52, dBm,
           140952628,Hz,              -29.08, dBm,
           142047489,Hz,              -38.21, dBm,
