X,CH1,Start,Increment,
Sequence,Volt,7.39E-04,1.00E-09,200ns
0,-4.00E-01,,,
1,-6.00E-01,,,
2,-6.00E-01,,,
3,-4.00E-01,,,
4,-6.00E-01,,,
5,-4.00E-01,,,
6,-6.00E-01,,,
7,-6.00E-01,,,
8,-6.00E-01,,,
9,-4.00E-01,,,
10,-6.00E-01,,,
11,-8.00E-01,,,
12,-1.40E+00,,,
13,-2.00E+00,,,
14,-2.20E+00,,,
15,-2.20E+00,,,
16,-2.40E+00,,,
17,-2.40E+00,,,
18,-2.60E+00,,,
19,-2.40E+00,,,
20,-2.60E+00,,,
21,-2.40E+00,,,
22,-2.40E+00,,,
23,-2.60E+00,,,
24,-2.40E+00,,,
25,-2.40E+00,,,
26,-2.60E+00,,,
27,-2.20E+00,,,
28,-2.40E+00,,,
29,-2.40E+00,,,
30,-2.60E+00,,,
31,-2.80E+00,,,
32,-3.80E+00,,,
33,-4.40E+00,,,
34,-4.60E+00,,,
35,-4.60E+00,,,
36,-5.00E+00,,,
37,-4.80E+00,,,
38,-4.80E+00,,,
39,-5.00E+00,,,
40,-5.00E+00,,,
41,-4.80E+00,,,
42,-5.00E+00,,,
43,-4.80E+00,,,
44,-5.00E+00,,,
45,-4.80E+00,,,
46,-5.00E+00,,,
47,-5.00E+00,,,
48,-4.80E+00,,,
49,-5.00E+00,,,
50,-5.00E+00,,,
51,-5.20E+00,,,
52,-5.80E+00,,,
53,-6.00E+00,,,
54,-6.20E+00,,,
55,-6.20E+00,,,
56,-6.20E+00,,,
57,-6.40E+00,,,
58,-6.40E+00,,,
59,-6.40E+00,,,
60,-6.60E+00,,,
61,-6.40E+00,,,
62,-6.60E+00,,,
63,-6.40E+00,,,
64,-6.40E+00,,,
65,-6.40E+00,,,
66,-6.60E+00,,,
67,-6.40E+00,,,
68,-6.60E+00,,,
69,-6.40E+00,,,
70,-6.40E+00,,,
71,-6.40E+00,,,
72,-6.20E+00,,,
73,-6.20E+00,,,
74,-6.20E+00,,,
75,-6.20E+00,,,
76,-6.40E+00,,,
77,-6.20E+00,,,
78,-6.40E+00,,,
79,-6.20E+00,,,
80,-6.20E+00,,,
81,-6.20E+00,,,
82,-6.40E+00,,,
83,-6.20E+00,,,
84,-6.40E+00,,,
85,-6.20E+00,,,
86,-6.40E+00,,,
87,-6.20E+00,,,
88,-6.20E+00,,,
89,-6.20E+00,,,
90,-6.20E+00,,,
91,-5.80E+00,,,
92,-5.00E+00,,,
93,-4.40E+00,,,
94,-4.40E+00,,,
95,-4.00E+00,,,
96,-4.00E+00,,,
97,-4.00E+00,,,
98,-4.00E+00,,,
99,-4.00E+00,,,
100,-4.00E+00,,,
101,-3.80E+00,,,
102,-3.80E+00,,,
103,-3.80E+00,,,
104,-3.80E+00,,,
105,-3.80E+00,,,
106,-3.80E+00,,,
107,-3.80E+00,,,
108,-4.00E+00,,,
109,-3.80E+00,,,
110,-4.00E+00,,,
111,-3.00E+00,,,
112,-1.20E+00,,,
113,-4.35E-05,,,
114,-4.35E-05,,,
115,6.00E-01,,,
116,6.00E-01,,,
117,8.00E-01,,,
118,8.00E-01,,,
119,1.20E+00,,,
120,1.20E+00,,,
121,1.20E+00,,,
122,8.00E-01,,,
123,1.20E+00,,,
124,1.20E+00,,,
125,1.20E+00,,,
126,8.00E-01,,,
127,1.20E+00,,,
128,1.20E+00,,,
129,1.20E+00,,,
130,8.00E-01,,,
131,2.00E+00,,,
132,4.00E+00,,,
133,5.80E+00,,,
134,6.00E+00,,,
135,6.60E+00,,,
136,6.80E+00,,,
137,6.80E+00,,,
138,7.00E+00,,,
139,7.20E+00,,,
140,7.00E+00,,,
141,7.20E+00,,,
142,7.00E+00,,,
143,7.20E+00,,,
144,7.20E+00,,,
145,7.20E+00,,,
146,6.80E+00,,,
147,7.20E+00,,,
148,7.00E+00,,,
149,7.20E+00,,,
150,7.20E+00,,,
151,8.00E+00,,,
152,1.04E+01,,,
153,1.18E+01,,,
154,1.18E+01,,,
155,1.26E+01,,,
156,1.28E+01,,,
157,1.28E+01,,,
158,1.28E+01,,,
159,1.32E+01,,,
160,1.32E+01,,,
161,1.30E+01,,,
162,1.28E+01,,,
163,1.32E+01,,,
164,1.30E+01,,,
165,1.32E+01,,,
166,1.30E+01,,,
167,1.30E+01,,,
168,1.32E+01,,,
169,1.32E+01,,,
170,1.30E+01,,,
171,1.38E+01,,,
172,1.56E+01,,,
173,1.66E+01,,,
174,1.64E+01,,,
175,1.72E+01,,,
176,1.72E+01,,,
177,1.72E+01,,,
178,1.72E+01,,,
179,1.76E+01,,,
180,1.74E+01,,,
181,1.76E+01,,,
182,1.74E+01,,,
183,1.76E+01,,,
184,1.76E+01,,,
185,1.76E+01,,,
186,1.74E+01,,,
187,1.76E+01,,,
188,1.76E+01,,,
189,1.76E+01,,,
190,1.72E+01,,,
191,1.78E+01,,,
192,1.84E+01,,,
193,1.86E+01,,,
194,1.86E+01,,,
195,1.90E+01,,,
196,1.90E+01,,,
197,1.90E+01,,,
198,1.90E+01,,,
199,1.92E+01,,,
200,1.92E+01,,,
201,1.92E+01,,,
202,1.90E+01,,,
203,1.92E+01,,,
204,1.90E+01,,,
205,1.92E+01,,,
206,1.90E+01,,,
207,1.92E+01,,,
208,1.90E+01,,,
209,1.90E+01,,,
210,1.90E+01,,,
211,1.90E+01,,,
212,1.82E+01,,,
213,1.80E+01,,,
214,1.76E+01,,,
215,1.78E+01,,,
216,1.78E+01,,,
217,1.76E+01,,,
218,1.76E+01,,,
219,1.78E+01,,,
220,1.76E+01,,,
221,1.78E+01,,,
222,1.76E+01,,,
223,1.78E+01,,,
224,1.78E+01,,,
225,1.76E+01,,,
226,1.74E+01,,,
227,1.76E+01,,,
228,1.76E+01,,,
229,1.76E+01,,,
230,1.76E+01,,,
231,1.72E+01,,,
232,1.56E+01,,,
233,1.42E+01,,,
234,1.38E+01,,,
235,1.38E+01,,,
236,1.36E+01,,,
237,1.34E+01,,,
238,1.32E+01,,,
239,1.34E+01,,,
240,1.34E+01,,,
241,1.34E+01,,,
242,1.30E+01,,,
243,1.34E+01,,,
244,1.32E+01,,,
245,1.34E+01,,,
246,1.32E+01,,,
247,1.34E+01,,,
248,1.32E+01,,,
249,1.32E+01,,,
250,1.32E+01,,,
251,1.26E+01,,,
252,1.00E+01,,,
253,8.60E+00,,,
254,8.40E+00,,,
255,8.00E+00,,,
256,7.60E+00,,,
257,7.60E+00,,,
258,7.20E+00,,,
259,7.40E+00,,,
260,7.20E+00,,,
261,7.40E+00,,,
262,7.20E+00,,,
263,7.40E+00,,,
264,7.40E+00,,,
265,7.40E+00,,,
266,7.40E+00,,,
267,7.40E+00,,,
268,7.20E+00,,,
269,7.40E+00,,,
270,7.20E+00,,,
271,6.60E+00,,,
272,4.20E+00,,,
273,2.60E+00,,,
274,2.40E+00,,,
275,2.00E+00,,,
276,1.60E+00,,,
277,1.60E+00,,,
278,1.40E+00,,,
279,1.40E+00,,,
280,1.40E+00,,,
281,1.40E+00,,,
282,1.20E+00,,,
283,1.40E+00,,,
284,1.20E+00,,,
285,1.40E+00,,,
286,1.20E+00,,,
287,1.40E+00,,,
288,1.40E+00,,,
289,1.40E+00,,,
290,1.20E+00,,,
291,6.00E-01,,,
292,-1.40E+00,,,
293,-2.40E+00,,,
294,-2.60E+00,,,
295,-3.00E+00,,,
296,-3.20E+00,,,
297,-3.20E+00,,,
298,-3.40E+00,,,
299,-3.40E+00,,,
300,-3.80E+00,,,
301,-3.80E+00,,,
302,-3.80E+00,,,
303,-3.40E+00,,,
304,-3.80E+00,,,
305,-3.80E+00,,,
306,-3.80E+00,,,
307,-3.40E+00,,,
308,-4.00E+00,,,
309,-3.40E+00,,,
310,-3.80E+00,,,
311,-4.00E+00,,,
312,-5.00E+00,,,
313,-5.40E+00,,,
314,-5.80E+00,,,
315,-5.80E+00,,,
316,-6.00E+00,,,
317,-6.00E+00,,,
318,-6.40E+00,,,
319,-6.20E+00,,,
320,-6.20E+00,,,
321,-6.20E+00,,,
322,-6.40E+00,,,
323,-6.20E+00,,,
324,-6.40E+00,,,
325,-6.20E+00,,,
