Trace1,
Freq,,Amp,,
            20791794,Hz,              -63.92, dBm,
            21841756,Hz,              -62.33, dBm,
            22891718,Hz,              -62.51, dBm,
            23941680,Hz,              -62.75, dBm,
            24991642,Hz,              -63.22, dBm,
            26041604,Hz,              -64.94, dBm,
            27091566,Hz,              -64.56, dBm,
            28141528,Hz,              -62.94, dBm,
            29191490,Hz,              -61.73, dBm,
            30241452,Hz,              -61.94, dBm,
            31291414,Hz,              -63.83, dBm,
            32341376,Hz,              -62.83, dBm,
            33391338,Hz,              -47.33, dBm,
            34441300,Hz,              -65.82, dBm,
            35491262,Hz,              -63.29, dBm,
            36541224,Hz,              -61.31, dBm,
            37591186,Hz,              -61.21, dBm,
            38641148,Hz,              -62.94, dBm,
            39691110,Hz,              -62.45, dBm,
            40741072,Hz,              -60.60, dBm,
            41791034,Hz,              -62.06, dBm,
            42840996,Hz,              -57.38, dBm,
            43890958,Hz,              -25.17, dBm,
            44940920,Hz,              -22.63, dBm,
            45990882,Hz,              -23.27, dBm,
            47040844,Hz,              -25.95, dBm,
            48090806,Hz,              -29.18, dBm,
            49140768,Hz,              -35.21, dBm,
            50190730,Hz,              -36.40, dBm,
            51240692,Hz,              -31.02, dBm,
            52290654,Hz,              -27.19, dBm,
            53340616,Hz,              -25.24, dBm,
            54390578,Hz,              -24.23, dBm,
            55440540,Hz,              -26.61, dBm,
            56490502,Hz,              -52.02, dBm,
            57540464,Hz,              -63.68, dBm,
            58590426,Hz,              -62.13, dBm,
            59640388,Hz,              -62.51, dBm,
            60690350,Hz,              -62.85, dBm,
            61740312,Hz,              -61.81, dBm,
            62790274,Hz,              -63.98, dBm,
            63840236,Hz,              -64.25, dBm,
            64890198,Hz,              -63.45, dBm,
            65940160,Hz,              -64.37, dBm,
            66990122,Hz,              -64.45, dBm,
            68040084,Hz,              -64.10, dBm,
            69090046,Hz,              -62.36, dBm,
            70140008,Hz,              -64.61, dBm,
            71189970,Hz,              -64.07, dBm,
            72239932,Hz,              -63.78, dBm,
            73289894,Hz,              -62.72, dBm,
            74339856,Hz,              -64.14, dBm,
            75389818,Hz,              -63.50, dBm,
            76439780,Hz,              -61.73, dBm,
            77489742,Hz,              -64.90, dBm,
            78539704,Hz,              -63.85, dBm,
            79589666,Hz,              -62.82, dBm,
            80639628,Hz,              -62.09, dBm,
            81689590,Hz,              -61.95, dBm,
            82739552,Hz,              -63.31, dBm,
            83789514,Hz,              -63.46, dBm,
            84839476,Hz,              -62.56, dBm,
            85889438,Hz,              -63.58, dBm,
            86939400,Hz,              -62.89, dBm,
            87989362,Hz,              -62.87, dBm,
            89039324,Hz,              -62.54, dBm,
            90089286,Hz,              -63.13, dBm,
            91139248,Hz,              -62.53, dBm,
            92189210,Hz,              -62.27, dBm,
            93239172,Hz,              -47.93, dBm,
            94289134,Hz,              -29.64, dBm,
            95339096,Hz,              -29.46, dBm,
            96389058,Hz,              -30.91, dBm,
            97439020,Hz,              -33.59, dBm,
            98488982,Hz,              -37.37, dBm,
            99538944,Hz,              -45.15, dBm,
           100588906,Hz,              -39.60, dBm,
           101638868,Hz,              -35.25, dBm,
           102688830,Hz,              -32.10, dBm,
           103738792,Hz,              -30.41, dBm,
           104788754,Hz,              -30.17, dBm,
           105838716,Hz,              -38.17, dBm,
           106888678,Hz,              -63.05, dBm,
           107938640,Hz,              -64.19, dBm,
           108988602,Hz,              -62.36, dBm,
           110038564,Hz,              -63.18, dBm,
           111088526,Hz,              -64.80, dBm,
           112138488,Hz,              -62.96, dBm,
           113188450,Hz,              -64.38, dBm,
           114238412,Hz,              -63.34, dBm,
           115288374,Hz,              -63.31, dBm,
           116338336,Hz,              -62.22, dBm,
           117388298,Hz,              -63.80, dBm,
           118438260,Hz,              -58.77, dBm,
           119488222,Hz,              -63.47, dBm,
           120538184,Hz,              -63.62, dBm,
           121588146,Hz,              -63.79, dBm,
           122638108,Hz,              -63.24, dBm,
           123688070,Hz,              -63.52, dBm,
           124738032,Hz,              -63.43, dBm,
           125787994,Hz,              -63.58, dBm,
           126837956,Hz,              -62.81, dBm,
           127887918,Hz,              -63.98, dBm,
           128937880,Hz,              -63.36, dBm,
           129987842,Hz,              -62.01, dBm,
           131037804,Hz,              -63.32, dBm,
           132087766,Hz,              -62.65, dBm,
           133137728,Hz,              -62.66, dBm,
           134187690,Hz,              -63.66, dBm,
           135237652,Hz,              -63.89, dBm,
           136287614,Hz,              -63.01, dBm,
           137337576,Hz,              -62.23, dBm,
           138387538,Hz,              -62.35, dBm,
           139437500,Hz,              -51.98, dBm,
           140487462,Hz,              -62.34, dBm,
           141537424,Hz,              -62.82, dBm,
           142587386,Hz,              -61.35, dBm,
           143637348,Hz,              -39.95, dBm,
           144687310,Hz,              -33.33, dBm,
           145737272,Hz,              -33.48, dBm,
           146787234,Hz,              -35.53, dBm,
           147837196,Hz,              -38.56, dBm,
           148887158,Hz,              -43.01, dBm,
           149937120,Hz,              -48.01, dBm,
           150987082,Hz,              -40.82, dBm,
           152037044,Hz,              -37.68, dBm,
           153087006,Hz,              -35.31, dBm,
           154136968,Hz,              -33.67, dBm,
           155186930,Hz,              -34.47, dBm,
           156236892,Hz,              -52.86, dBm,
           157286854,Hz,              -63.10, dBm,
           158336816,Hz,              -61.61, dBm,
           159386778,Hz,              -61.70, dBm,
           160436740,Hz,              -64.31, dBm,
           161486702,Hz,              -56.16, dBm,
           162536664,Hz,              -62.98, dBm,
           163586626,Hz,              -63.62, dBm,
           164636588,Hz,              -61.84, dBm,
           165686550,Hz,              -62.64, dBm,
           166736512,Hz,              -62.47, dBm,
           167786474,Hz,              -62.53, dBm,
           168836436,Hz,              -61.86, dBm,
           169886398,Hz,              -61.28, dBm,
           170936360,Hz,              -63.32, dBm,
           171986322,Hz,              -63.98, dBm,
           173036284,Hz,              -64.40, dBm,
           174086246,Hz,              -61.59, dBm,
           175136208,Hz,              -61.67, dBm,
           176186170,Hz,              -61.36, dBm,
           177236132,Hz,              -62.60, dBm,
           178286094,Hz,              -63.52, dBm,
           179336056,Hz,              -61.74, dBm,
           180386018,Hz,              -64.04, dBm,
           181435980,Hz,              -63.97, dBm,
           182485942,Hz,              -63.56, dBm,
           183535904,Hz,              -64.53, dBm,
           184585866,Hz,              -60.11, dBm,
           185635828,Hz,              -62.39, dBm,
           186685790,Hz,              -62.46, dBm,
           187735752,Hz,              -62.64, dBm,
           188785714,Hz,              -60.60, dBm,
           189835676,Hz,              -63.06, dBm,
           190885638,Hz,              -63.54, dBm,
           191935600,Hz,              -62.41, dBm,
           192985562,Hz,              -58.88, dBm,
           194035524,Hz,              -37.87, dBm,
           195085486,Hz,              -35.95, dBm,
           196135448,Hz,              -37.34, dBm,
           197185410,Hz,              -39.54, dBm,
           198235372,Hz,              -43.18, dBm,
           199285334,Hz,              -49.04, dBm,
           200335296,Hz,              -47.28, dBm,
           201385258,Hz,              -41.94, dBm,
           202435220,Hz,              -39.03, dBm,
           203485182,Hz,              -36.94, dBm,
           204535144,Hz,              -36.28, dBm,
           205585106,Hz,              -39.20, dBm,
           206635068,Hz,              -61.05, dBm,
           207685030,Hz,              -63.35, dBm,
           208734992,Hz,              -63.43, dBm,
           209784954,Hz,              -63.95, dBm,
           210834916,Hz,              -64.19, dBm,
           211884878,Hz,              -62.38, dBm,
           212934840,Hz,              -61.71, dBm,
           213984802,Hz,              -64.01, dBm,
           215034764,Hz,              -63.77, dBm,
           216084726,Hz,              -63.75, dBm,
           217134688,Hz,              -64.33, dBm,
           218184650,Hz,              -63.58, dBm,
           219234612,Hz,              -61.99, dBm,
           220284574,Hz,              -63.13, dBm,
           221334536,Hz,              -60.15, dBm,
           222384498,Hz,              -64.89, dBm,
           223434460,Hz,              -63.70, dBm,
           224484422,Hz,              -63.09, dBm,
           225534384,Hz,              -62.78, dBm,
           226584346,Hz,              -63.55, dBm,
           227634308,Hz,              -64.23, dBm,
           228684270,Hz,              -64.54, dBm,
           229734232,Hz,              -61.87, dBm,
           230784194,Hz,              -63.37, dBm,
           231834156,Hz,              -62.31, dBm,
           232884118,Hz,              -62.71, dBm,
           233934080,Hz,              -61.44, dBm,
           234984042,Hz,              -64.24, dBm,
           236034004,Hz,              -63.28, dBm,
           237083966,Hz,              -62.54, dBm,
           238133928,Hz,              -62.48, dBm,
           239183890,Hz,              -62.75, dBm,
           240233852,Hz,              -65.56, dBm,
           241283814,Hz,              -62.24, dBm,
           242333776,Hz,              -63.99, dBm,
           243383738,Hz,              -49.37, dBm,
           244433700,Hz,              -37.87, dBm,
           245483662,Hz,              -37.88, dBm,
           246533624,Hz,              -39.79, dBm,
           247583586,Hz,              -42.21, dBm,
           248633548,Hz,              -46.51, dBm,
           249683510,Hz,              -53.36, dBm,
           250733472,Hz,              -46.51, dBm,
           251783434,Hz,              -42.57, dBm,
           252833396,Hz,              -40.12, dBm,
           253883358,Hz,              -38.48, dBm,
           254933320,Hz,              -38.52, dBm,
           255983282,Hz,              -48.38, dBm,
           257033244,Hz,              -64.23, dBm,
           258083206,Hz,              -62.89, dBm,
           259133168,Hz,              -63.66, dBm,
           260183130,Hz,              -63.03, dBm,
           261233092,Hz,              -62.22, dBm,
           262283054,Hz,              -62.73, dBm,
           263333016,Hz,              -64.61, dBm,
           264382978,Hz,              -62.10, dBm,
           265432940,Hz,              -63.17, dBm,
           266482902,Hz,              -63.32, dBm,
           267532864,Hz,              -61.43, dBm,
           268582826,Hz,              -61.31, dBm,
           269632788,Hz,              -63.25, dBm,
           270682750,Hz,              -62.28, dBm,
           271732712,Hz,              -64.24, dBm,
           272782674,Hz,              -62.59, dBm,
           273832636,Hz,              -62.98, dBm,
           274882598,Hz,              -63.06, dBm,
           275932560,Hz,              -63.13, dBm,
           276982522,Hz,              -64.68, dBm,
           278032484,Hz,              -63.71, dBm,
           279082446,Hz,              -64.01, dBm,
           280132408,Hz,              -63.61, dBm,
           281182370,Hz,              -65.30, dBm,
           282232332,Hz,              -63.45, dBm,
           283282294,Hz,              -61.92, dBm,
           284332256,Hz,              -63.70, dBm,
           285382218,Hz,              -62.96, dBm,
           286432180,Hz,              -63.94, dBm,
           287482142,Hz,              -63.03, dBm,
           288532104,Hz,              -62.64, dBm,
           289582066,Hz,              -62.40, dBm,
           290632028,Hz,              -62.32, dBm,
           291681990,Hz,              -60.90, dBm,
           292731952,Hz,              -60.45, dBm,
           293781914,Hz,              -43.41, dBm,
           294831876,Hz,              -39.90, dBm,
           295881838,Hz,              -40.41, dBm,
           296931800,Hz,              -42.60, dBm,
           297981762,Hz,              -45.80, dBm,
           299031724,Hz,              -51.88, dBm,
           300081686,Hz,              -51.78, dBm,
           301131648,Hz,              -46.63, dBm,
           302181610,Hz,              -44.04, dBm,
           303231572,Hz,              -41.68, dBm,
           304281534,Hz,              -40.22, dBm,
