Trace1,
Freq,,Amp,,
            42449056,Hz,              -71.52, dBm,
            42473402,Hz,              -71.92, dBm,
            42497748,Hz,              -69.00, dBm,
            42522094,Hz,              -74.52, dBm,
            42546440,Hz,              -71.98, dBm,
            42570786,Hz,              -71.57, dBm,
            42595132,Hz,              -70.67, dBm,
            42619478,Hz,              -74.92, dBm,
            42643824,Hz,              -71.33, dBm,
            42668170,Hz,              -71.66, dBm,
            42692516,Hz,              -72.57, dBm,
            42716862,Hz,              -48.60, dBm,
            42741208,Hz,              -69.56, dBm,
            42765554,Hz,              -69.44, dBm,
            42789900,Hz,              -72.76, dBm,
            42814246,Hz,              -69.98, dBm,
            42838592,Hz,              -71.78, dBm,
            42862938,Hz,              -66.82, dBm,
            42887284,Hz,              -66.85, dBm,
            42911630,Hz,              -68.02, dBm,
            42935976,Hz,              -68.16, dBm,
            42960322,Hz,              -69.21, dBm,
            42984668,Hz,              -67.46, dBm,
            43009014,Hz,              -67.42, dBm,
            43033360,Hz,              -70.46, dBm,
            43057706,Hz,              -65.87, dBm,
            43082052,Hz,              -65.92, dBm,
            43106398,Hz,              -69.05, dBm,
            43130744,Hz,              -70.16, dBm,
            43155090,Hz,              -70.29, dBm,
            43179436,Hz,              -69.81, dBm,
            43203782,Hz,              -70.68, dBm,
            43228128,Hz,              -71.40, dBm,
            43252474,Hz,              -70.01, dBm,
            43276820,Hz,              -71.50, dBm,
            43301166,Hz,              -70.64, dBm,
            43325512,Hz,              -73.03, dBm,
            43349858,Hz,              -75.08, dBm,
            43374204,Hz,              -75.14, dBm,
            43398550,Hz,              -72.83, dBm,
            43422896,Hz,              -74.61, dBm,
            43447242,Hz,              -73.60, dBm,
            43471588,Hz,              -74.60, dBm,
            43495934,Hz,              -76.41, dBm,
            43520280,Hz,              -72.71, dBm,
            43544626,Hz,              -71.74, dBm,
            43568972,Hz,              -72.93, dBm,
            43593318,Hz,              -71.90, dBm,
            43617664,Hz,              -69.40, dBm,
            43642010,Hz,              -71.93, dBm,
            43666356,Hz,              -73.93, dBm,
            43690702,Hz,              -72.32, dBm,
            43715048,Hz,              -73.38, dBm,
            43739394,Hz,              -72.79, dBm,
            43763740,Hz,              -72.45, dBm,
            43788086,Hz,              -70.71, dBm,
            43812432,Hz,              -69.59, dBm,
            43836778,Hz,              -68.22, dBm,
            43861124,Hz,              -68.16, dBm,
            43885470,Hz,              -73.39, dBm,
            43909816,Hz,              -66.51, dBm,
            43934162,Hz,              -69.85, dBm,
            43958508,Hz,              -71.41, dBm,
            43982854,Hz,              -67.51, dBm,
            44007200,Hz,              -68.38, dBm,
            44031546,Hz,              -68.21, dBm,
            44055892,Hz,              -67.63, dBm,
            44080238,Hz,              -67.24, dBm,
            44104584,Hz,              -69.45, dBm,
            44128930,Hz,              -69.51, dBm,
            44153276,Hz,              -69.43, dBm,
            44177622,Hz,              -68.42, dBm,
            44201968,Hz,              -70.96, dBm,
            44226314,Hz,              -70.72, dBm,
            44250660,Hz,              -71.33, dBm,
            44275006,Hz,              -71.42, dBm,
            44299352,Hz,              -72.54, dBm,
            44323698,Hz,              -73.15, dBm,
            44348044,Hz,              -74.83, dBm,
            44372390,Hz,              -70.01, dBm,
            44396736,Hz,              -70.58, dBm,
            44421082,Hz,              -69.17, dBm,
            44445428,Hz,              -69.28, dBm,
            44469774,Hz,              -67.24, dBm,
            44494120,Hz,              -63.52, dBm,
            44518466,Hz,              -59.72, dBm,
            44542812,Hz,              -55.87, dBm,
            44567158,Hz,              -52.44, dBm,
