Trace1,
Freq,,Amp,,
              810420,Hz,              -24.67, dBm,
              879141,Hz,              -24.68, dBm,
              947862,Hz,              -25.53, dBm,
             1016583,Hz,              -27.15, dBm,
             1085304,Hz,              -29.37, dBm,
             1154025,Hz,              -32.32, dBm,
             1222746,Hz,              -35.67, dBm,
             1291467,Hz,              -39.47, dBm,
             1360188,Hz,              -42.27, dBm,
             1428909,Hz,              -44.82, dBm,
             1497630,Hz,              -45.80, dBm,
             1566351,Hz,              -43.89, dBm,
             1635072,Hz,              -40.67, dBm,
             1703793,Hz,              -36.95, dBm,
             1772514,Hz,              -33.27, dBm,
             1841235,Hz,              -29.83, dBm,
             1909956,Hz,              -26.34, dBm,
             1978677,Hz,              -23.16, dBm,
             2047398,Hz,              -20.16, dBm,
             2116119,Hz,              -17.60, dBm,
             2184840,Hz,              -15.31, dBm,
             2253561,Hz,              -13.30, dBm,
             2322282,Hz,              -11.32, dBm,
             2391003,Hz,               -9.78, dBm,
             2459724,Hz,               -8.39, dBm,
             2528445,Hz,               -7.04, dBm,
             2597166,Hz,               -6.01, dBm,
             2665887,Hz,               -5.22, dBm,
             2734608,Hz,               -4.73, dBm,
             2803329,Hz,               -4.22, dBm,
             2872050,Hz,               -3.97, dBm,
             2940771,Hz,               -3.96, dBm,
             3009492,Hz,               -4.05, dBm,
             3078213,Hz,               -3.82, dBm,
             3146934,Hz,               -3.80, dBm,
             3215655,Hz,               -3.99, dBm,
             3284376,Hz,               -4.49, dBm,
             3353097,Hz,               -5.00, dBm,
             3421818,Hz,               -5.76, dBm,
             3490539,Hz,               -6.60, dBm,
             3559260,Hz,               -7.62, dBm,
             3627981,Hz,               -8.97, dBm,
             3696702,Hz,              -10.25, dBm,
             3765423,Hz,              -11.77, dBm,
             3834144,Hz,              -13.76, dBm,
             3902865,Hz,              -15.83, dBm,
             3971586,Hz,              -18.01, dBm,
             4040307,Hz,              -20.44, dBm,
             4109028,Hz,               -7.52, dBm,
             4177749,Hz,              -26.43, dBm,
             4246470,Hz,              -29.77, dBm,
             4315191,Hz,              -33.15, dBm,
             4383912,Hz,              -36.50, dBm,
             4452633,Hz,              -39.16, dBm,
             4521354,Hz,              -41.21, dBm,
             4590075,Hz,              -40.38, dBm,
             4658796,Hz,              -37.79, dBm,
             4727517,Hz,              -34.67, dBm,
             4796238,Hz,              -31.35, dBm,
             4864959,Hz,              -27.99, dBm,
             4933680,Hz,              -24.88, dBm,
             5002401,Hz,              -21.83, dBm,
             5071122,Hz,              -19.12, dBm,
             5139843,Hz,              -16.76, dBm,
             5208564,Hz,              -14.69, dBm,
             5277285,Hz,              -12.69, dBm,
             5346006,Hz,              -10.90, dBm,
             5414727,Hz,               -9.50, dBm,
             5483448,Hz,               -8.13, dBm,
             5552169,Hz,               -6.94, dBm,
             5620890,Hz,               -6.00, dBm,
             5689611,Hz,               -5.34, dBm,
             5758332,Hz,               -4.87, dBm,
             5827053,Hz,               -4.42, dBm,
             5895774,Hz,               -4.24, dBm,
             5964495,Hz,               -4.32, dBm,
             6033216,Hz,               -4.39, dBm,
             6101937,Hz,               -4.11, dBm,
             6170658,Hz,               -4.15, dBm,
             6239379,Hz,               -4.44, dBm,
             6308100,Hz,               -4.94, dBm,
             6376821,Hz,               -5.58, dBm,
             6445542,Hz,               -6.32, dBm,
             6514263,Hz,               -7.22, dBm,
             6582984,Hz,               -8.34, dBm,
             6651705,Hz,               -9.73, dBm,
             6720426,Hz,              -11.00, dBm,
             6789147,Hz,              -12.70, dBm,
             6857868,Hz,              -14.79, dBm,
             6926589,Hz,              -16.85, dBm,
             6995310,Hz,              -19.08, dBm,
             7064031,Hz,              -21.63, dBm,
             7132752,Hz,              -24.64, dBm,
             7201473,Hz,              -27.95, dBm,
             7270194,Hz,              -31.27, dBm,
             7338915,Hz,              -34.70, dBm,
             7407636,Hz,              -37.96, dBm,
             7476357,Hz,              -40.28, dBm,
             7545078,Hz,              -41.13, dBm,
             7613799,Hz,              -40.17, dBm,
             7682520,Hz,              -12.23, dBm,
             7751241,Hz,              -33.96, dBm,
             7819962,Hz,              -30.69, dBm,
             7888683,Hz,              -27.38, dBm,
             7957404,Hz,              -24.27, dBm,
             8026125,Hz,              -21.31, dBm,
             8094846,Hz,              -18.72, dBm,
             8163567,Hz,              -16.45, dBm,
             8232288,Hz,              -14.39, dBm,
             8301009,Hz,              -12.41, dBm,
             8369730,Hz,              -10.77, dBm,
             8438451,Hz,               -9.38, dBm,
             8507172,Hz,               -8.02, dBm,
