Trace1,
Freq,,Amp,,
            15447122,Hz,              -28.20, dBm,
            15659495,Hz,              -67.25, dBm,
            15871868,Hz,              -65.96, dBm,
            16084241,Hz,              -65.94, dBm,
            16296614,Hz,              -48.53, dBm,
            16508987,Hz,              -66.74, dBm,
            16721360,Hz,              -64.25, dBm,
            16933733,Hz,              -66.74, dBm,
            17146106,Hz,              -45.72, dBm,
            17358479,Hz,              -64.61, dBm,
            17570852,Hz,              -67.34, dBm,
            17783225,Hz,              -65.06, dBm,
            17995598,Hz,              -24.06, dBm,
            18207971,Hz,              -64.88, dBm,
            18420344,Hz,              -56.61, dBm,
            18632717,Hz,              -45.02, dBm,
            18845090,Hz,              -18.29, dBm,
            19057463,Hz,              -19.25, dBm,
            19269836,Hz,              -12.77, dBm,
            19482209,Hz,               -8.13, dBm,
            19694582,Hz,               -5.20, dBm,
            19906955,Hz,               -4.06, dBm,
            20119328,Hz,               -3.83, dBm,
            20331701,Hz,               -3.94, dBm,
            20544074,Hz,               -6.87, dBm,
            20756447,Hz,              -10.47, dBm,
            20968820,Hz,              -16.10, dBm,
            21181193,Hz,              -16.70, dBm,
            21393566,Hz,              -33.04, dBm,
            21605939,Hz,              -43.95, dBm,
            21818312,Hz,              -55.58, dBm,
            22030685,Hz,              -63.08, dBm,
            22243058,Hz,              -24.07, dBm,
            22455431,Hz,              -63.09, dBm,
            22667804,Hz,              -66.17, dBm,
            22880177,Hz,              -60.22, dBm,
            23092550,Hz,              -67.96, dBm,
            23304923,Hz,              -65.10, dBm,
            23517296,Hz,              -63.69, dBm,
            23729669,Hz,              -47.03, dBm,
            23942042,Hz,              -65.97, dBm,
            24154415,Hz,              -65.88, dBm,
            24366788,Hz,              -66.03, dBm,
            24579161,Hz,              -32.53, dBm,
            24791534,Hz,              -68.38, dBm,
            25003907,Hz,              -68.41, dBm,
            25216280,Hz,              -66.92, dBm,
            25428653,Hz,              -35.26, dBm,
            25641026,Hz,              -66.71, dBm,
            25853399,Hz,              -68.14, dBm,
            26065772,Hz,              -69.15, dBm,
            26278145,Hz,              -35.55, dBm,
            26490518,Hz,              -70.35, dBm,
            26702891,Hz,              -68.48, dBm,
            26915264,Hz,              -66.65, dBm,
            27127637,Hz,              -69.91, dBm,
            27340010,Hz,              -65.43, dBm,
            27552383,Hz,              -66.98, dBm,
            27764756,Hz,              -68.78, dBm,
            27977129,Hz,              -42.59, dBm,
            28189502,Hz,              -68.23, dBm,
            28401875,Hz,              -66.37, dBm,
            28614248,Hz,              -67.03, dBm,
            28826621,Hz,              -34.33, dBm,
            29038994,Hz,              -68.68, dBm,
            29251367,Hz,              -67.44, dBm,
            29463740,Hz,              -64.04, dBm,
            29676113,Hz,              -67.35, dBm,
            29888486,Hz,              -62.16, dBm,
            30100859,Hz,              -62.19, dBm,
            30313232,Hz,              -60.99, dBm,
            30525605,Hz,              -61.32, dBm,
            30737978,Hz,              -66.26, dBm,
            30950351,Hz,              -66.18, dBm,
            31162724,Hz,              -62.84, dBm,
            31375097,Hz,              -34.20, dBm,
