X,CH1,Start,Increment,
Sequence,Volt,7.39E-04,1.00E-09,5ns
0,-3.00E+00,,,1000MHz
1,-2.00E+00,,,
2,-1.20E+00,,,
3,-6.00E-01,,,
4,-8.00E-01,,,
5,-1.80E+00,,,
6,-3.40E+00,,,
7,-4.80E+00,,,
8,-5.20E+00,,,
9,-4.00E+00,,,
10,-1.20E+00,,,
11,3.20E+00,,,
12,7.80E+00,,,
13,1.20E+01,,,
14,1.46E+01,,,
15,1.54E+01,,,
16,1.36E+01,,,
17,1.04E+01,,,
18,5.80E+00,,,
19,1.60E+00,,,
20,-1.80E+00,,,
21,-3.80E+00,,,
22,-4.20E+00,,,
23,-3.20E+00,,,
24,-2.20E+00,,,
25,-1.20E+00,,,
26,-1.00E+00,,,
27,-1.20E+00,,,
28,-2.00E+00,,,
29,-3.00E+00,,,
30,-3.80E+00,,,
31,-3.40E+00,,,
32,-3.20E+00,,,
33,-2.20E+00,,,
34,-1.80E+00,,,
35,-1.40E+00,,,
36,-1.40E+00,,,
37,-2.00E+00,,,
38,-2.60E+00,,,
39,-2.80E+00,,,
40,-3.00E+00,,,
41,-2.40E+00,,,
42,-2.00E+00,,,
43,-1.40E+00,,,
44,-1.20E+00,,,
45,-1.60E+00,,,
46,-2.40E+00,,,
47,-3.00E+00,,,
48,-4.00E+00,,,
49,-3.80E+00,,,
50,-3.20E+00,,,
51,-2.00E+00,,,
52,-1.20E+00,,,
53,-6.00E-01,,,
54,-1.00E+00,,,
55,-1.80E+00,,,
56,-3.40E+00,,,
57,-4.80E+00,,,
58,-5.20E+00,,,
59,-4.00E+00,,,
